Model,Training RMSE,Training MAE,CV RMSE (avg),CV RMSE (std),CV MAE (avg),CV MAE (std)
Mean Baseline,16.231144395120335,13.133105823717084,16.247436693736173,0.7515884887795996,13.169619684269174,0.7935911572620157
Median Baseline,16.2947122693703,13.081420982735724,16.30436823379442,0.7855513335985158,13.113830463576159,0.7919038724437838
Age-Based Baseline,12.561753584584642,9.928022997063419,12.835665351179944,0.48181062190208895,10.189582417624457,0.4637175003716477
Linear Regression,6.4388619335543105,5.02056479940836,6.604468073306353,0.5709579887179645,5.178882948621819,0.40453100740011433
Ridge Regression,6.438866680445991,5.02064308031369,6.604087251118211,0.5706900015667647,5.178580422513787,0.4042699235720541
SGD Regression,6.460424510191074,5.05334499499587,6.607383540070176,0.5577769225380159,5.196133076669023,0.3776595887369074
DECISION TREE Regression,5.939150103580055,4.533230342796499,7.374377737476747,0.7406470539786308,5.4993318209466775,0.4784610572933861
RANDOM FOREST Regression,2.2797504568855715,1.5784898092896804,5.19510543863642,0.7549345192590821,3.6770123981932366,0.3966455997703837
HIST GRADIENT BOOSTING Regression,1.1422942239752345,0.37886536858516656,4.799927520549744,0.7036451832344159,3.1219449732319062,0.30791243575135135
TUNED HGB MODEL,1.2441599462484794,0.5569089060657969,4.532751468500468,0.5610914996803987,2.952795103863406,0.21930930375026944
